Block comparison (size 4096 bytes)
Total blocks: 256

0x000000-0x000FFF: DIFFERENT | selected=duo_dump | CRCs: u1=E0EB6A88 u2=4FFA32F4 duo=3F0B2A03
0x099000-0x099FFF: DIFFERENT | selected=duo_dump | CRCs: u1=FEA72298 u2=E7FFBFA4 duo=07441328
0x09A000-0x09AFFF: DIFFERENT | selected=duo_dump | CRCs: u1=7FB00EE0 u2=AFF986A6 duo=9DE6262E
0x09B000-0x09BFFF: DIFFERENT | selected=duo_dump | CRCs: u1=6727A285 u2=E56B0E8F duo=46283B07
0x09C000-0x09CFFF: DIFFERENT | selected=duo_dump | CRCs: u1=3ECC3D10 u2=2ECCDA3E duo=B3796FBC
0x09D000-0x09DFFF: DIFFERENT | selected=duo_dump | CRCs: u1=9233E742 u2=84B8DBBF duo=0FF07F78
0x09E000-0x09EFFF: DIFFERENT | selected=duo_dump | CRCs: u1=C64DA819 u2=FEA72298 duo=C05AC02D
0x09F000-0x09FFFF: DIFFERENT | selected=duo_dump | CRCs: u1=5DC80253 u2=7FB00EE0 duo=F1D9A096
0x0A0000-0x0A0FFF: DIFFERENT | selected=duo_dump | CRCs: u1=B5EC5117 u2=6727A285 duo=C5423C36
0x0A1000-0x0A1FFF: DIFFERENT | selected=duo_dump | CRCs: u1=EBB6262B u2=3ECC3D10 duo=F670906F
0x0A2000-0x0A2FFF: DIFFERENT | selected=duo_dump | CRCs: u1=E1DE8827 u2=9233E742 duo=24C1C9D3
0x0A3000-0x0A3FFF: DIFFERENT | selected=duo_dump | CRCs: u1=C2C334E4 u2=C64DA819 duo=2B322162
0x0A4000-0x0A4FFF: DIFFERENT | selected=duo_dump | CRCs: u1=EBCF36C2 u2=5DC80253 duo=38207DEF
0x0A5000-0x0A5FFF: DIFFERENT | selected=duo_dump | CRCs: u1=8DD4AC71 u2=B5EC5117 duo=55921DA2
0x0A6000-0x0A6FFF: DIFFERENT | selected=duo_dump | CRCs: u1=D09D0268 u2=EBB6262B duo=7137763A
0x0A7000-0x0A7FFF: DIFFERENT | selected=duo_dump | CRCs: u1=E6711ED0 u2=E1DE8827 duo=5B84EE87
0x0A8000-0x0A8FFF: DIFFERENT | selected=duo_dump | CRCs: u1=8DEA088F u2=C2C334E4 duo=8684469F
0x0A9000-0x0A9FFF: DIFFERENT | selected=duo_dump | CRCs: u1=A95EDD27 u2=EBCF36C2 duo=DAD00130
0x0AA000-0x0AAFFF: DIFFERENT | selected=duo_dump | CRCs: u1=05C814EA u2=8DD4AC71 duo=D012C7E1
0x0AB000-0x0ABFFF: DIFFERENT | selected=duo_dump | CRCs: u1=9EC19719 u2=D09D0268 duo=901FD69E
0x0AC000-0x0ACFFF: DIFFERENT | selected=duo_dump | CRCs: u1=6E03743F u2=E6711ED0 duo=9B671471
0x0AD000-0x0ADFFF: DIFFERENT | selected=duo_dump | CRCs: u1=57815FF7 u2=8DEA088F duo=B87DC946
0x0AE000-0x0AEFFF: DIFFERENT | selected=duo_dump | CRCs: u1=B8D87CE3 u2=A95EDD27 duo=5B21D15D
0x0AF000-0x0AFFFF: DIFFERENT | selected=duo_dump | CRCs: u1=DF9430C6 u2=05C814EA duo=FCC58B36
0x0B0000-0x0B0FFF: DIFFERENT | selected=duo_dump | CRCs: u1=2F7C11A8 u2=9EC19719 duo=CDE84F13
0x0B1000-0x0B1FFF: DIFFERENT | selected=duo_dump | CRCs: u1=288C8D10 u2=6E03743F duo=687FB38C
0x0B2000-0x0B2FFF: DIFFERENT | selected=duo_dump | CRCs: u1=29685B26 u2=57815FF7 duo=776A8FA8
0x0B3000-0x0B3FFF: DIFFERENT | selected=duo_dump | CRCs: u1=78018CE7 u2=B8D87CE3 duo=0EA6D944
0x0B4000-0x0B4FFF: DIFFERENT | selected=duo_dump | CRCs: u1=8D6463AE u2=DF9430C6 duo=2ED6639A
0x0B5000-0x0B5FFF: DIFFERENT | selected=duo_dump | CRCs: u1=20F4279D u2=2F7C11A8 duo=E80DFC81
0x0B6000-0x0B6FFF: DIFFERENT | selected=duo_dump | CRCs: u1=D8C3D4A2 u2=288C8D10 duo=00C800E3
0x0B7000-0x0B7FFF: DIFFERENT | selected=duo_dump | CRCs: u1=4C5637C0 u2=29685B26 duo=7EB92E9C
0x0B8000-0x0B8FFF: DIFFERENT | selected=duo_dump | CRCs: u1=7D2021AC u2=78018CE7 duo=EAEC901B
0x0B9000-0x0B9FFF: DIFFERENT | selected=duo_dump | CRCs: u1=A1E741F6 u2=8D6463AE duo=586C9170
0x0BA000-0x0BAFFF: DIFFERENT | selected=duo_dump | CRCs: u1=96B0577A u2=20F4279D duo=B0612A17
0x0BB000-0x0BBFFF: DIFFERENT | selected=duo_dump | CRCs: u1=E5420C65 u2=D8C3D4A2 duo=64A368C1
0x0BC000-0x0BCFFF: DIFFERENT | selected=duo_dump | CRCs: u1=0EAEC8E7 u2=4C5637C0 duo=AAE7940C
0x0BD000-0x0BDFFF: DIFFERENT | selected=duo_dump | CRCs: u1=E7D08A13 u2=7D2021AC duo=26345EE3
0x0BE000-0x0BEFFF: DIFFERENT | selected=duo_dump | CRCs: u1=35BDAA49 u2=A1E741F6 duo=1BDD48C8
0x0BF000-0x0BFFFF: DIFFERENT | selected=duo_dump | CRCs: u1=277478C4 u2=96B0577A duo=0A4CEB8A
0x0C0000-0x0C0FFF: DIFFERENT | selected=duo_dump | CRCs: u1=A49EA3E6 u2=E5420C65 duo=ABDC610E
0x0C1000-0x0C1FFF: DIFFERENT | selected=duo_dump | CRCs: u1=A0B26A21 u2=0EAEC8E7 duo=AE3620A2
0x0C2000-0x0C2FFF: DIFFERENT | selected=duo_dump | CRCs: u1=93F31948 u2=E7D08A13 duo=84DCA4BC
0x0C3000-0x0C3FFF: DIFFERENT | selected=duo_dump | CRCs: u1=2CF6176B u2=35BDAA49 duo=E1C7D975
0x0C4000-0x0C4FFF: DIFFERENT | selected=duo_dump | CRCs: u1=1F79FAF8 u2=277478C4 duo=1999EA55
0x0C5000-0x0C5FFF: DIFFERENT | selected=duo_dump | CRCs: u1=7BA738C3 u2=A49EA3E6 duo=C85ABCE6
0x0C6000-0x0C6FFF: DIFFERENT | selected=duo_dump | CRCs: u1=62E24B97 u2=A0B26A21 duo=6D696A25
0x0C7000-0x0C7FFF: DIFFERENT | selected=duo_dump | CRCs: u1=B6CB4C64 u2=93F31948 duo=F81E2D11
0x0C8000-0x0C8FFF: DIFFERENT | selected=duo_dump | CRCs: u1=B74FEB60 u2=2CF6176B duo=4785F0B4
0x0C9000-0x0C9FFF: DIFFERENT | selected=duo_dump | CRCs: u1=1B7AB50F u2=1F79FAF8 duo=5193118A
0x0CA000-0x0CAFFF: DIFFERENT | selected=duo_dump | CRCs: u1=B1D094AF u2=7BA738C3 duo=4A8A8E85
0x0CB000-0x0CBFFF: DIFFERENT | selected=duo_dump | CRCs: u1=2E2826F3 u2=62E24B97 duo=2E4FD7CC
0x0CC000-0x0CCFFF: DIFFERENT | selected=duo_dump | CRCs: u1=1E6201F1 u2=B6CB4C64 duo=ECF74ADD
0x0CD000-0x0CDFFF: DIFFERENT | selected=duo_dump | CRCs: u1=168843D8 u2=B74FEB60 duo=664AE868
0x0CE000-0x0CEFFF: DIFFERENT | selected=duo_dump | CRCs: u1=84D0AA97 u2=1B7AB50F duo=037BBDF2
0x0CF000-0x0CFFFF: DIFFERENT | selected=duo_dump | CRCs: u1=19B221E1 u2=B1D094AF duo=E44752E2
0x0D0000-0x0D0FFF: DIFFERENT | selected=duo_dump | CRCs: u1=69562F9F u2=2E2826F3 duo=3F1EB46A
0x0D1000-0x0D1FFF: DIFFERENT | selected=duo_dump | CRCs: u1=68EF04E4 u2=1E6201F1 duo=E494CAF7
0x0D2000-0x0D2FFF: DIFFERENT | selected=duo_dump | CRCs: u1=75A1E8B6 u2=168843D8 duo=72283E2F
0x0D3000-0x0D3FFF: DIFFERENT | selected=duo_dump | CRCs: u1=8125D234 u2=84D0AA97 duo=5A21E2CA
